dataset,condition,seed,model,test_auc_roc,test_auc_pr,test_brier,train_auc_roc,train_test_gap,threshold,n_total,L1,L2,L3,L4,L5
pima,ablation_L1,4096,random_forest,0.8942,0.8942,0.1305,1.0,0.1058,0.6,768,False,True,True,True,True
pima,ablation_L1,8192,random_forest,0.8935,0.9078,0.1349,1.0,0.1065,0.505,768,False,True,True,True,True
pima,ablation_L1,16384,random_forest,0.8819,0.8362,0.139,1.0,0.1181,0.54,768,False,True,True,True,True
pima,ablation_L1,32768,random_forest,0.8763,0.8742,0.1413,1.0,0.1237,0.48,768,False,True,True,True,True
pima,ablation_L2,42,random_forest,0.8312,0.7082,0.16,1.0,0.1688,0.355,768,True,False,True,True,True
pima,ablation_L2,123,random_forest,0.8722,0.7522,0.151,1.0,0.1278,0.62,768,True,False,True,True,True
pima,ablation_L2,256,random_forest,0.8331,0.7246,0.1588,1.0,0.1669,0.515,768,True,False,True,True,True
pima,ablation_L2,512,random_forest,0.8338,0.7113,0.1618,1.0,0.1662,0.525,768,True,False,True,True,True
pima,ablation_L2,1024,random_forest,0.784,0.6521,0.1853,1.0,0.216,0.34,768,True,False,True,True,True
pima,ablation_L2,2048,random_forest,0.7438,0.5877,0.2016,1.0,0.2562,0.275,768,True,False,True,True,True
pima,ablation_L2,4096,random_forest,0.886,0.786,0.1356,1.0,0.114,0.36,768,True,False,True,True,True
pima,ablation_L2,8192,random_forest,0.8105,0.6804,0.1695,1.0,0.1895,0.375,768,True,False,True,True,True
pima,ablation_L2,16384,random_forest,0.8296,0.7121,0.1697,1.0,0.1704,0.35,768,True,False,True,True,True
pima,ablation_L2,32768,random_forest,0.8462,0.716,0.1542,1.0,0.1538,0.265,768,True,False,True,True,True
pima,ablation_L3,42,random_forest,0.9178,0.9071,0.1198,1.0,0.0822,0.48,768,True,True,False,True,True
pima,ablation_L3,123,random_forest,0.8894,0.8627,0.1373,1.0,0.1106,0.395,768,True,True,False,True,True
pima,ablation_L3,256,random_forest,0.8603,0.8545,0.1521,1.0,0.1397,0.66,768,True,True,False,True,True
